service_id,date,exception_type
AFA21GEN-7062-Weekday-00_C64,20220221,2
AFA21GEN-7062-Weekday-00_C64,20220316,2
AFA21GEN-7062-Weekday-00_C64,20220317,2
AFA21GEN-7062-Weekday-00_C64,20220318,2
AFA21GEN-7062-Weekday-00_C64,20220530,2
AFA21GEN-7062-Weekday-00_C65,20211224,2
AFA21GEN-7062-Weekday-00_C65,20211231,2
AFA21GEN-7062-Weekday-00_C65,20220221,2
AFA21GEN-7062-Weekday-00_C65,20220318,2
AFA21GEN-7062-Weekday-00_C65,20220530,2
AFA21GEN-GS013-Saturday-00,20211224,1
AFA21GEN-GS013-Saturday-00,20211231,1
AFA21GEN-GS013-Saturday-00,20220221,1
AFA21GEN-GS013-Sunday-00,20220530,1
AFA21GEN-GS022-Weekday-00,20211224,2
AFA21GEN-GS022-Weekday-00,20211231,2
AFA21GEN-GS022-Weekday-00,20220221,2
AFA21GEN-GS022-Weekday-00,20220530,2
BFA21GEN-A046-Saturday-00_C29,20211224,1
BFA21GEN-A046-Saturday-00_C29,20211231,1
BFA21GEN-A046-Saturday-00_C29,20220221,1
BFA21GEN-A046-Saturday-00_C29,20220319,2
BFA21GEN-A053-Sunday-00_C22,20220320,2
BFA21GEN-A053-Sunday-00_C22,20220530,1
BFA21GEN-A083-Weekday-00_C41,20211224,2
BFA21GEN-A083-Weekday-00_C41,20211231,2
BFA21GEN-A083-Weekday-00_C41,20220221,2
BFA21GEN-A083-Weekday-00_C41,20220316,2
BFA21GEN-A083-Weekday-00_C41,20220317,2
BFA21GEN-A083-Weekday-00_C41,20220318,2
BFA21GEN-A083-Weekday-00_C41,20220321,2
BFA21GEN-A083-Weekday-00_C41,20220322,2
BFA21GEN-A083-Weekday-00_C41,20220323,2
BFA21GEN-A083-Weekday-00_C41,20220324,2
BFA21GEN-A083-Weekday-00_C41,20220530,2
BFA21GEN-B083-Weekday-00_C42,20211224,2
BFA21GEN-B083-Weekday-00_C42,20211231,2
BFA21GEN-B083-Weekday-00_C42,20220221,2
BFA21GEN-B083-Weekday-00_C42,20220316,2
BFA21GEN-B083-Weekday-00_C42,20220317,2
BFA21GEN-B083-Weekday-00_C42,20220318,2
BFA21GEN-B083-Weekday-00_C42,20220321,2
BFA21GEN-B083-Weekday-00_C42,20220322,2
BFA21GEN-B083-Weekday-00_C42,20220323,2
BFA21GEN-B083-Weekday-00_C42,20220324,2
BFA21GEN-B083-Weekday-00_C42,20220530,2
BFA21GEN-C025-Saturday-00_C14,20211224,1
BFA21GEN-C025-Saturday-00_C14,20211231,1
BFA21GEN-C025-Saturday-00_C14,20220221,1
BFA21GEN-C025-Saturday-00_C14,20220319,2
BFA21GEN-C027-Sunday-00_C33,20220320,2
BFA21GEN-C027-Sunday-00_C33,20220530,1
BFA21GEN-C052-Weekday-00_C24,20211224,2
BFA21GEN-C052-Weekday-00_C24,20211231,2
BFA21GEN-C052-Weekday-00_C24,20220221,2
BFA21GEN-C052-Weekday-00_C24,20220316,2
BFA21GEN-C052-Weekday-00_C24,20220317,2
BFA21GEN-C052-Weekday-00_C24,20220318,2
BFA21GEN-C052-Weekday-00_C24,20220321,2
BFA21GEN-C052-Weekday-00_C24,20220322,2
BFA21GEN-C052-Weekday-00_C24,20220323,2
BFA21GEN-C052-Weekday-00_C24,20220324,2
BFA21GEN-C052-Weekday-00_C24,20220530,2
BFA21GEN-D039-Saturday-00_C13,20211224,1
BFA21GEN-D039-Saturday-00_C13,20211231,1
BFA21GEN-D039-Saturday-00_C13,20220221,1
BFA21GEN-D039-Saturday-00_C13,20220319,2
BFA21GEN-D042-Sunday-00_C43,20220320,2
BFA21GEN-D042-Sunday-00_C43,20220530,1
BFA21GEN-D078-Weekday-00_C31,20211224,2
