,betweenness,lon,lat,num_departures,num_departures_scaled,accessibility_score,route_type,hex9
305715,1.0546339474835298,-73.966016,40.629935,449,1.0592348284960422,2.1138687759795722,3,892a107624fffff
305716,1.0610439105280787,-73.966631,40.63223,449,1.0592348284960422,2.120278739024121,3,892a107624fffff
305718,1.0836433085138595,-73.967599,40.635593,449,1.0592348284960422,2.1428781370099017,3,892a107625bffff
305719,1.077215436919686,-73.968181,40.637588,449,1.0592348284960422,2.1364502654157285,3,892a107625bffff
305720,1.070786527148723,-73.968775,40.639658,449,1.0592348284960422,2.1300213556447654,3,892a107752fffff
305721,1.06435657920097,-73.969451,40.642011,449,1.0592348284960422,2.1235914076970124,3,892a107752bffff
305722,1.057925593076427,-73.970052,40.644089,449,1.0592348284960422,2.1171604215724695,3,892a107753bffff
305724,1.0514935687750946,-73.970833,40.646768,449,1.0592348284960422,2.110728397271137,3,892a107750fffff
305725,1.045060506296972,-73.971358,40.648599,449,1.0592348284960422,2.1042953347930142,3,892a107750fffff
305727,1.0321912668103577,-73.972686,40.652993,449,1.0592348284960422,2.0914260953064,3,892a107751bffff
305728,1.025755089801866,-73.973276,40.655038,449,1.0592348284960422,2.084989918297908,3,892a10775cfffff
305729,1.019317874616584,-73.973777,40.656765,449,1.0592348284960422,2.078552703112626,3,892a10775cfffff
305730,1.0128796212545126,-73.975444,40.658945,449,1.0592348284960422,2.072114449750555,3,892a10775cbffff
305731,1.0064403297156512,-73.977772,40.66007,449,1.0592348284960422,2.0656751582116932,3,892a1077437ffff
305733,1.0,-73.979409,40.660699,449,1.0592348284960422,2.0592348284960424,3,892a1077437ffff
305734,1.0064403297156512,-73.977217,40.659626,449,1.0592348284960422,2.0656751582116932,3,892a1077437ffff
305735,1.0128796212545126,-73.974832,40.658472,449,1.0592348284960422,2.072114449750555,3,892a10775cbffff
305736,1.019317874616584,-73.973766,40.656027,449,1.0592348284960422,2.078552703112626,3,892a10775cfffff
305738,1.025755089801866,-73.973039,40.653608,449,1.0592348284960422,2.084989918297908,3,892a10775cfffff
305739,1.0321912668103577,-73.972694,40.65231,449,1.0592348284960422,2.0914260953064,3,892a107751bffff
305740,1.0386264056420598,-73.971963,40.649732,449,1.0592348284960422,2.0978612341381018,3,892a107750bffff
305741,1.045060506296972,-73.971448,40.64794,449,1.0592348284960422,2.1042953347930142,3,892a107750fffff
305742,1.0514935687750946,-73.970876,40.645972,449,1.0592348284960422,2.110728397271137,3,892a107750fffff
305743,1.06435657920097,-73.970132,40.643402,449,1.0592348284960422,2.1235914076970124,3,892a107752bffff
305744,1.070786527148723,-73.969394,40.640888,449,1.0592348284960422,2.1300213556447654,3,892a107752bffff
305745,1.077215436919686,-73.968764,40.638695,449,1.0592348284960422,2.1364502654157285,3,892a107752fffff
305746,1.0836433085138595,-73.968074,40.636296,449,1.0592348284960422,2.1428781370099017,3,892a107625bffff
305749,1.5859164672645858,-73.966801,40.631909,449,1.0592348284960422,2.645151295760628,3,892a107624fffff
305750,1.5903128357523615,-73.966139,40.629172,449,1.0592348284960422,2.649547664248404,3,892a10771b7ffff
305752,1.074001998114158,-73.965241,40.624418,449,1.0592348284960422,2.1332368266102,3,892a107626fffff
305753,1.0677387640559037,-73.964795,40.622033,449,1.0592348284960422,2.1269735925519457,3,892a10744d7ffff
305754,1.0615296017054525,-73.964339,40.619664,449,1.0592348284960422,2.1207644302014947,3,892a107448bffff
305755,1.055362096198693,-73.963883,40.617265,449,1.0592348284960422,2.114596924694735,3,892a107448bffff
305756,1.0492205883690449,-73.963434,40.614868,449,1.0592348284960422,2.108455416865087,3,892a1074417ffff
305757,1.0431245786372108,-73.962938,40.612231,449,1.0592348284960422,2.102359407133253,3,892a1074417ffff
305758,1.0370832894736735,-73.962457,40.609617,449,1.0592348284960422,2.096318117969716,3,892a10744abffff
305760,1.0252764768563953,-73.961844,40.60505,449,1.0592348284960422,2.0845113053524376,3,892a1074437ffff
305761,1.0195522382329962,-73.961665,40.602676,449,1.0592348284960422,2.0787870667290385,3,892a1074427ffff
305762,1.0142105659589369,-73.961472,40.600238,449,1.0592348284960422,2.0734453944549793,3,892a1074553ffff
305763,1.013637412709988,-73.961337,40.598405,449,1.0592348284960422,2.0728722412060305,3,892a1074543ffff
305764,1.0177124518861438,-73.961136,40.595808,449,1.0592348284960422,2.076947280382186,3,892a1074547ffff
305765,1.0220972273997682,-73.960961,40.593431,449,1.0592348284960422,2.0813320558958104,3,892a1074547ffff
305766,1.0266676548778324,-73.960793,40.591271,449,1.0592348284960422,2.0859024833738746,3,892a107457bffff
305767,1.0314525696806733,-73.960625,40.589116,449,1.0592348284960422,2.0906873981767156,3,892a1074563ffff
305768,1.0364677174896035,-73.960457,40.586986,449,1.0592348284960422,2.0957025459856458,3,892a107456fffff
305770,1.041656803168195,-73.960086,40.582048,449,1.0592348284960422,2.100891631664237,3,892a107418bffff
305771,1.046994910473492,-73.959915,40.579786,449,1.0592348284960422,2.1062297389695344,3,892a107418fffff
305775,1.1271868289962534,-73.965449,40.576651,889,1.117282321899736,2.2444691508959895,3,892a1074103ffff
305792,1.019317874616584,-73.982057,40.662113,349,1.046042216358839,2.065360090975423,3,892a1077433ffff
305793,1.025755089801866,-73.98095,40.663562,349,1.046042216358839,2.071797306160705,3,892a1077433ffff
305794,1.0321912668103577,-73.979955,40.664753,349,1.046042216358839,2.0782334831691966,3,892a10774abffff
305803,1.0183976969811406,-73.969255,40.67626,170,1.0224274406332454,2.040825137614386,3,892a100da2fffff
305804,1.0138670426132304,-73.968642,40.67794,170,1.0224274406332454,2.0362944832464756,3,892a100da23ffff
305805,1.0122681558894917,-73.968013,40.679702,170,1.0224274406332454,2.034695596522737,3,892a100da23ffff
305806,1.012397024195235,-73.967457,40.681238,170,1.0224274406332454,2.03482446482848,3,892a100da33ffff
305807,1.0139083254008399,-73.96795,40.684124,170,1.0224274406332454,2.0363357660340853,3,892a100da07ffff
305808,1.0168790646185324,-73.968439,40.686284,170,1.0224274406332454,2.039306505251778,3,892a100da03ffff
305809,1.0206478280465177,-73.968687,40.687777,170,1.0224274406332454,2.043075268679763,3,892a100da03ffff
305810,1.0245152145617629,-73.969,40.68935,170,1.0224274406332454,2.046942655195008,3,892a100da13ffff
305811,1.0286023484975186,-73.969504,40.691867,170,1.0224274406332454,2.051029789130764,3,892a100dac7ffff
305831,1.2080088430716922,-73.9704,40.695567,163,1.0215039577836411,2.2295128008553333,3,892a100dad7ffff
305833,1.0629166705500908,-73.969544,40.691255,163,1.0215039577836411,2.084420628333732,3,892a100dac7ffff
305834,1.0589544082714282,-73.969209,40.689567,163,1.0215039577836411,2.080458366055069,3,892a100da13ffff
305835,1.055093858891899,-73.968799,40.687502,163,1.0215039577836411,2.07659781667554,3,892a100da03ffff
305836,1.0514184132466091,-73.968587,40.686479,163,1.0215039577836411,2.0729223710302502,3,892a100da03ffff
305837,1.0488227043573453,-73.96808,40.683907,163,1.0215039577836411,2.070326662140986,3,892a100da07ffff
305838,1.0473530117933048,-73.967541,40.681922,163,1.0215039577836411,2.068856969576946,3,892a100da33ffff
305839,1.046284656192944,-73.968176,40.679894,163,1.0215039577836411,2.0677886139765853,3,892a100da23ffff
305841,1.0457354300150097,-73.968764,40.67825,163,1.0215039577836411,2.067239387798651,3,892a100da23ffff
305842,1.0460294028102264,-73.969399,40.676499,163,1.0215039577836411,2.0675333605938677,3,892a100da2fffff
305852,1.0148722040462879,-73.977194,40.664314,359,1.0473614775725593,2.062233681618847,3,892a10774abffff
305853,1.0129198137190505,-73.978633,40.662596,359,1.0473614775725593,2.0602812912916098,3,892a1077433ffff
305855,1.0102905122308412,-73.980667,40.660162,359,1.0473614775725593,2.0576519898034005,3,892a1077423ffff
305858,1.0253463083231484,-73.983781,40.65694,359,1.0473614775725593,2.072707785895708,3,892a107742fffff
305872,1.0316606428493067,-74.024451,40.610266,593,1.0782321899736147,2.109892832822921,3,892a1075507ffff
305873,1.0361998654140747,-74.023602,40.612347,593,1.0782321899736147,2.1144320553876894,3,892a1075517ffff
305883,1.3470622372555041,-74.017078,40.628211,280,1.036939313984169,2.384001551239673,3,892a107730fffff
305884,1.341004337263323,-74.015754,40.629429,280,1.036939313984169,2.3779436512474916,3,892a107730bffff
305885,1.3350204197266629,-74.014598,40.630541,280,1.036939313984169,2.371959733710832,3,892a1077303ffff
305886,1.329180934828112,-74.013373,40.631716,280,1.036939313984169,2.366120248812281,3,892a1077303ffff
305887,1.3234827976994963,-74.012174,40.632874,280,1.036939313984169,2.3604221116836652,3,892a1077313ffff
305888,1.3179084384345703,-74.01043,40.634543,280,1.036939313984169,2.3548477524187392,3,892a107738bffff
